Title,Folder_Path,File_Path,Encoder
The Fountain (2006),G:\0 Director\Darren Aronofsky\The Fountain (2006) Tigole 6.9,The Fountain (2006) (1080p BDRip x265 10bit DTS-HD MA 5.1 - r0b0t) [TAoE].mkv,TAoE
The Wrestler (2008),G:\0 Director\Darren Aronofsky\The Wrestler (2008) Tigole 7.5,The Wrestler (2008) (1080p BluRay x265 afm72).mkv,afm72
Fight Club (1999),G:\0 Director\David Fincher\Fight Club (1999)  Tigole 7.4,Fight Club (1999)  [2160p x265 10bit FS100 Joy].mkv,Joy
The Girl with the Dragon Tattoo (2011),G:\0 Director\David Fincher\Girl with Dragon Tatoo (2011) Tigole 6.4,The Girl with the Dragon Tattoo (2011) (1080p BDRip x265 10bit DTS-HD MA 5.1 - r0b0t) [TAoE].mkv,TAoE
Gone Girl (2014),G:\0 Director\David Fincher\Gone Girl (2014) Tigole 7.4,Gone Girl (2014) (1080p BDRip x265 10bit DTS-HD MA 7.1 - DrainedDay)[TAoE].mkv,TAoE
Mank (2020),G:\0 Director\David Fincher\Mank (2020) Tigole 6.2,Mank (2020) (1080p WEB-DL x265 SAMPA).mkv,SAMPA
Se7en (1995),G:\0 Director\David Fincher\Se7en (1995) Tigole 7.5,Se7en (1995) (1080p BluRay x265 10bit Tigole).mkv,Tigole
The Social Network (2010),G:\0 Director\David Fincher\The Social Network (2010) Tigole 6.8,The.Social.Network.2010.iTA-ENG.HDR.2160p.BDRip.x265-STiNGUAJT.mkv,
Zodiac (2007),G:\0 Director\David Fincher\Zodiac (2007) 6.9,Zodiac_2007_DIRECTORS_CUT_10bit_1080p_x265_BluRay_AAC_5.1_afm72_30NAMA.mkv,afm72
Hallam Foe This Is My Story (2007),G:\0 Director\David Mackenzie\Hallam Foe This Is My Story (2007) YTS 6.1 300,Hallam_Foe_This_Is_My_Story_2007_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
Hell or High Water (2016),G:\0 Director\David Mackenzie\Hell or High Water (2016) 6.8 2600,Hell or High Water (2016) (1080p BluRay x265 Bandi).mkv,Bandi
Perfect Sense (2011),G:\0 Director\David Mackenzie\Perfect Sense (2011) Tigole 6.3 900,Perfect Sense (2011) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Starred Up (2013),G:\0 Director\David Mackenzie\Starred Up (2013) Tigole 6.9 700,Starred Up (2013) (1080p BluRay x265 afm72).mkv,afm72
La sapienza (2014),G:\0 Director\Eugene Green\La Sapienza (2014) 8.2 100,La_sapienza_2014_1080p_BluRay_USURY_30NAMA.mkv,USURY
Le pont des Arts (2004),G:\0 Director\Eugene Green\Le pont des Arts (2004) dvd 8.3 100,Le_pont_des_Arts_2004_DVDRip_Unknown_30NAMA 95.avi,DVDRip
Les signes (2006),G:\0 Director\Eugene Green\Les signes (2006) dvd 8.4 0,Les_signes_2006_DVDRip_30NAMA.avi,DVDRip
The Living World (2003),G:\0 Director\Eugene Green\The Living World (2003) dvd 8.1 100,The.Living.World.2003.DVDRip-[MediaSity].mkv,DVDRip
The Son of Joseph (2016),G:\0 Director\Eugene Green\The Son of Joseph (2016) 6.9 100,The_Son_of_Joseph_2016_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Toutes les nuits (2001),G:\0 Director\Eugene Green\Toutes les nuits (2001) dvd 8 100,Toutes.les.nuits.2001.DVDRip-[MediaSity].avi,DVDRip
Crossing the Bridge The Sound of Istanbul (2005),G:\0 Director\Fatih Akin,Crossing_the_Bridge_The_Sound_of_Istanbul_2005_DVDRip_30NAMA.avi,DVDRip
Soul Kitchen (2009),G:\0 Director\Fatih Akin,Soul_Kitchen_2009_1080p_BluRay_HCA_30NAMA.mkv,
Head On (2004),G:\0 Director\Fatih Akin\Head_On (2004) Tigole 8.3 1900,Head_On_2004_10bit_1080p_x265_BrRip_Tigole_30NAMA.mkv,Tigole
In July (2000),G:\0 Director\Fatih Akin\In July (2000) dvd 7.5 1100,In_July_2000_DVDRip_30NAMA.avi,DVDRip
The Edge of Heaven (2007),G:\0 Director\Fatih Akin\The Edge of Heaven (2007) YTS 6.9 1100,The.Edge.of.Heaven.2007.720p-[MediaSity].mkv,
Carne (1991),G:\0 Director\Gaspar Noe\Carne (1991) 6.9,Carne_1991_DVDRip_30NAMA.avi,DVDRip
Climax (2018),G:\0 Director\Gaspar Noe\Climax (2018) 6.9 Tigole,Climax (2018) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Enter the Void (2010),G:\0 Director\Gaspar Noe\Enter the Void (2009) Tigole 7.5,Enter the Void (2010) Extended (1080p BluRay x265 r00t).mkv,r00t
I Stand Alone (1998),G:\0 Director\Gaspar Noe\I Stand_Alone (1998) 7.9,I_Stand_Alone_1998_1080p_BrRip_30nama_30NAMA.mkv,30nama
Irreversible (2002),G:\0 Director\Gaspar Noe\Irreversible (2002) Tigole 6.5,Irreversible_2002_10bit_1080p_x265_BluRay_AAC_5.1_Tigole_30NAMA.mkv,Tigole
Brand Upon the Brain A Remembrance in 12 Chapters (2006),G:\0 Director\Guy Maddin,Brand_Upon_the_Brain_A_Remembrance_in_12_Chapters_2006_DVDRip_30NAMA.avi,DVDRip
