Title,Folder_Path,File_Path,Encoder
XXY (2007),G:\2005 - 2010\6.5 - 7\XXY (2007) Tigole 6.9 400,XXY (2007) (1080p BluRay x265 10bit Tigole).mkv,Tigole
A Single Man (2009),G:\2005 - 2010\7 - 7.5\A Single Man (2009) Tigole 7 2400,A_Single_Man_2009_10bit_1080p_x265_BrRip_Tigole_30NAMA.mkv,Tigole
Alice (2005),G:\2005 - 2010\7 - 7.5\Alice (2005) dvd 7 0,Alice (2005).avi,
Away from Her (2006),G:\2005 - 2010\7 - 7.5\Away from Her (2007) Silence 7.2 700,Away from Her (2006) (1080p AMZN WEBRip x265 Silence).mkv,Silence
Beyond the Gates (2005),G:\2005 - 2010\7 - 7.5\Beyond the Gates (2005) YTS 7 200,Beyond.the.Gates.2005.720p-[MediaSity].mkv,
Blame It on Fidel (2006),G:\2005 - 2010\7 - 7.5\Blame It on Fidel (2006) dvd 7.3 300,Blame.It.on.Fidel.2006.DVDRip-[MediaSity].mkv,DVDRip
boy-1080,G:\2005 - 2010\7 - 7.5\Boy A (2007) PublicHD 7.3 900,boy-1080.mkv,
Cell 211 (2009),G:\2005 - 2010\7 - 7.5\Cell 211 (2009) afm72 7.4 1300,Cell 211 (2009) (1080p BluRay x265 afm72).mkv,afm72
City Of Life And Death (2009),G:\2005 - 2010\7 - 7.5\City Of Life And Death (2009) YTS 7.1 200,City.Of.Life.And.Death.2009.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,YTS
Control (2007),G:\2005 - 2010\7 - 7.5\Control (2007) Tigole 7 1800,Control (2007) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Fish Tank (2009),G:\2005 - 2010\7 - 7.5\Fish Tank (2009) Tigole 7.3 1700,Fish Tank (2009) Criterion (1080p BluRay x265 10bit Tigole).mkv,Tigole
Goodbye Solo (2008),G:\2005 - 2010\7 - 7.5\Goodbye Solo (2009) afm72 7 400,Goodbye_Solo_2008_10bit_1080p_x265_WEB-DL_afm72_30NAMA.mkv,afm72
I Am Love (2009),G:\2005 - 2010\7 - 7.5\I Am Love (2009) nikt0 7 700,I.Am.Love.2009.1080p.BluRay.x264-nikt0.mkv,nikt0
In Bruges (2008),G:\2005 - 2010\7 - 7.5\In Bruges (2008)  Silence 7.4 10300,In Bruges (2008) (1080p BluRay x265 Silence).mkv,Silence
Klass (2007),G:\2005 - 2010\7 - 7.5\Klass (2007) YTS 7.2 400,Klass.2007.BluRip.1080p.5.1.FLY635.mkv,
La antena (2007),G:\2005 - 2010\7 - 7.5\La antena (2007) YTS 7.1 200,La_antena_2007_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
Live and Become (2005),G:\2005 - 2010\7 - 7.5\Live and Become (2005) YTS 7.3 200,Live.and.Become.2005.720p-[MediaSity].mkv,
Lourdes (2009),G:\2005 - 2010\7 - 7.5\Lourdes (2009) YTS 7.4 200,Lourdes_2009_720p_BrRip_Ganool_30NAMA 7.7.mkv,Ganool
Fish cat-1080,G:\2005 - 2010\7 - 7.5\Mahi va Gorbeh (2013) YTS 7 200,Fish_cat-1080.mp4,
Manufactured Landscapes (2006),G:\2005 - 2010\7 - 7.5\Manufactured Landscapes (2006) Sartre 7.2 100,Manufactured.Landscapes.2006.1080p.BluRay.x265.HEVC.AAC-SARTRE.mkv,SARTRE
Once (2007),G:\2005 - 2010\7 - 7.5\ONCE (2007) Tigole 7.2 3700,Once (2007) (1080p x265 10bit Tigole).mkv,Tigole
Paprika (2006),G:\2005 - 2010\7 - 7.5\Paprika (2006) YTS 7.1 3200,Paprika_2006_1080p_BrRip_RARBG_30NAMA 7.1.mp4,RARBG
Revanche (2008),G:\2005 - 2010\7 - 7.5\Revanche (2008) CiNEFiLE 7 700,Revanche.2008.1080p.BluRay.x264-CiNEFiLE.mkv,CiNEFiLE
Sin Nombre (2009),G:\2005 - 2010\7 - 7.5\Sin Nombre (2009) 7 700,Sin Nombre (2009) (1080p BluRay x265 afm72).mkv,afm72
The Chaser (2008),G:\2005 - 2010\7 - 7.5\The Chaser (2008) Silence 7.4 1400,The_Chaser_2008_10bit_1080p_x265_BluRay_AAC_Silence_30NAMA 7.6.mkv,Silence
The Girl Who Leapt Through Time (2006),G:\2005 - 2010\7 - 7.5\The Girl Who Leapt Through Time (2006) Prof 7 1800,The Girl Who Leapt Through Time (2006) [1080p x265 HEVC 10bit BluRay Dual Audio AAC 5.1] [Prof].mkv,Prof
The Kid With A Bike (2011),G:\2005 - 2010\7 - 7.5\The Kid With A Bike (2011) CiNEFiLe 7.3 1000,The.Kid.With.A.Bike.2011.1080p.BluRay.x264-CiNEFiLE.mkv,CiNEFiLE
The Perverts Guide to Cinema (2006),G:\2005 - 2010\7 - 7.5\The Perverts Guide to Cinema (2006) dvd 7.4 500,The.Perverts.Guide.to.Cinema.2006.DVDRip-[MediaSity].avi,DVDRip
The Visitor (2007),G:\2005 - 2010\7 - 7.5\The Visitor (2007) Bandi 7.2 1200,The_Visitor_2007_10bit_1080p_x265_BluRay_5.1CH_Bandi_30NAMA.mkv,Bandi
A Christmas Tale (2008),G:\2005 - 2010\7.5 - 8\A Christmas Tale (2008) Sartre 7.6 400,A.Christmas.Tale.2008.Criterion.1080p.BluRay.x265.HEVC.EAC3-SARTRE.mkv,SARTRE
BabAziz (2005),G:\2005 - 2010\7.5 - 8\BabAziz (2005) dvd 7.6 200,BabAziz_2005_DVDRip_30NAMA.mkv,DVDRip
Dear Zachary - A Letter to a Son About His Father (2008),G:\2005 - 2010\7.5 - 8\Dear Zachary - A Letter to a Son About His Father (2008) Silence 7.7 1100,Dear Zachary - A Letter to a Son About His Father (2008) (1080p AMZN WEB-DL x265 Silence).mkv,Silence
Den brysomme mannen (2006),G:\2005 - 2010\7.5 - 8\Den brysomme mannen (2006) dvd 7.8  800,Den_brysomme_mannen_2006_DVDRip_30NAMA.avi,DVDRip
Departures (2008),G:\2005 - 2010\7.5 - 8\Departures (2008) afm72 7.5 1100,Departures_2008_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
Earthlings (2005),G:\2005 - 2010\7.5 - 8\Earthlings (2005) YTS 7.5 300,Earthlings_2005_RESTORED_1080p_WEBRip_AAC_VI_30NAMA.mp4,
Home (2009),G:\2005 - 2010\7.5 - 8\Home (2009) Tigole 7.6 500,Home (2009) (1080p x265 10bit Tigole).mkv,Tigole
Hunger (2008),G:\2005 - 2010\7.5 - 8\Hunger (2008) r00t 7.6 2300,Hunger (2008) Criterion (1080p BluRay x265 r00t).mkv,r00t
In the Loop (2009),G:\2005 - 2010\7.5 - 8\In the Loop (2009) Silence 7.5 2500,In the Loop (2009) (1080p BluRay x265 Silence).mkv,Silence
Let the Right One In (2008),G:\2005 - 2010\7.5 - 8\Let the Right One In (2008) Tigole 7.8 6900,Let the Right One In (2008) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Memories of Matsuko (2006),G:\2005 - 2010\7.5 - 8\Memories of Matsuko (2006) Sartre 7.6 200,Memories.of.Matsuko.2006.1080p.BluRay.x265.HEVC.EAC3-SARTRE.mkv,SARTRE
Moon (2009),G:\2005 - 2010\7.5 - 8\Moon (2009) Tigole 7.6 9200,Moon (2009) (2160p BluRay x265 10bit HDR Tigole).mkv,Tigole
Okuribito (2008),G:\2005 - 2010\7.5 - 8\Okuribito (2008) EA 7.5 1200,Okuribito 2008 1080p BluRay DD5.1 x264-EA.mkv,
Pan s Labyrinth (2006),G:\2005 - 2010\7.5 - 8\Panْs Labyrinth (2006) afm72 7.7 16400,Pan_s_Labyrinth_2006_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
Persepolis (2007),G:\2005 - 2010\7.5 - 8\Persepolis (2007) Tigole 7.5 4600,Persepolis (2007) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Regular Lovers (2005),G:\2005 - 2010\7.5 - 8\Regular Lovers (2005) FR dvd 7.7 200,Regular_Lovers_2005_DVDRip_Part1_30NAMA.avi,DVDRip
Autumn (2008),G:\2005 - 2010\7.5 - 8\Sonbahar (2008) 7.7 600,Autumn.2008.DVDRip-[MediaSity].mkv,DVDRip
"Synecdoche, New York (2008)","G:\2005 - 2010\7.5 - 8\Synecdoche, New York (2008) Tigole 7.9 4300","Synecdoche, New York (2008) (1080p BluRay x265 10bit Tigole).mkv",Tigole
The Cave Of The Yellow Dog (2005),G:\2005 - 2010\7.5 - 8\The Cave Of The Yellow Dog (2005) YTS 7.7 100,The.Cave.Of.The.Yellow.Dog.2005.1080p.BluRay.x264-[YTS.LT].mp4,YTS
The Class (2008),G:\2005 - 2010\7.5 - 8\The Class (2008) YTS 7.8 1200,The_Class_2008_1080p_BrRip_30nama_30NAMA.mkv,30nama
The Dark House (2009),G:\2005 - 2010\7.5 - 8\The Dark House (2009) YTS 7.8 200,The_Dark_House_2009_1080p_BrRip_ATTeam_30NAMA.mkv,
The Fall (2006),G:\2005 - 2010\7.5 - 8\The Fall (2006) Tigole 7.5 3900,The_Fall_2006_10bit_1080p_x265_BluRay_AAC_5.1_Tigole_30NAMA.mkv,Tigole
The Hedgehog (2009),G:\2005 - 2010\7.5 - 8\The Hedgehog (2009) YTS 7.6 300,The.Hedgehog.2009.720p-[MediaSity].mkv,
The Island (2006),G:\2005 - 2010\7.5 - 8\The Island (2006) YTS 7.5 200,The_Island_2006_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
The Secret in Their Eyes (2009),G:\2005 - 2010\7.5 - 8\The Secret in Their Eyes (2009) Tigole 7.8 3200,The_Secret_in_Their_Eyes_2009_10bit_1080p_x265_BluRay_AAC_Tigole_30NAMA.mkv,Tigole
This Is England (2006),G:\2005 - 2010\7.5 - 8\This Is England (2006) Tigole 7.8 3100,This_Is_England_2006_10bit_1080p_x265_BluRay_AAC_5.1_Panda_30NAMA.mkv,Panda
Tokyo Sonata (2008),G:\2005 - 2010\7.5 - 8\Tokyo Sonata (2008) Sartre 7.8 500,Tokyo.Sonata.2008.MoC.1080p.Bluray.x265.HEVC.AAC-SARTRE.mkv,SARTRE
Waltz with Bashir (2008),G:\2005 - 2010\7.5 - 8\Waltz With Bashir (2008) 30nama 7.6 2400,Waltz_with_Bashir_2008_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Ashes and Snow (2005),G:\2005 - 2010\8 - 9\Ashes and Snow (2005) dvd 8 200,Ashes_and_Snow_2005_DVDRip_HANDJOB_30NAMA.mkv,HANDJOB
Castaway on the Moon (2009),G:\2005 - 2010\8 - 9\Castaway on the Moon (2009) nikt0 8 700,Castaway.on.the.Moon.2009.1080p.BluRay.x264-nikt0.mkv,nikt0
The House of Small Cubes (2008),G:\2005 - 2010\8 - 9\La Maison en Petits Cubes (2008) dvd 8.2 700,The.House.of.Small.Cubes.2008.1080p.HQ.WEB-DL.mkv,
Lake of Fire (2006),G:\2005 - 2010\8 - 9\Lake of Fire (2006) dvd 8.2 200,Lake_of_Fire_2006_DVDRip_Part1_30NAMA 95.avi,DVDRip
Mary and Max (2009),G:\2005 - 2010\8 - 9\Mary And Max (2009) r00t 8.1 3600,Mary_and_Max_2009_10bit_1080p_x265_BluRay_r00t_30NAMA.mkv,r00t
The Diving Bell and the Butterfly (2007),G:\2005 - 2010\8 - 9\The Diving Bell and the Butterfly (2007) Silence 8 3400,The_Diving_Bell_and_the_Butterfly_2007_10bit_1080p_x265_BluRay_AAC_5.1_Silence_30NAMA.mkv,Silence
The Free Will (2006),G:\2005 - 2010\8 - 9\The Free Will (2006) dvd 8.1 200,The_Free_Will_2006_576p_DVDRip_30NAMA 8.6.mkv,DVDRip
The Lives of Others (2006),G:\2005 - 2010\8 - 9\The Lives of Others (2006) afm72 8.1 6500,The_Lives_of_Others_2006_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
Born Into Brothels - Calcutta's Red Light Kids (2004),G:\2005 - 2010\Born Into Brothels - Calcutta's Red Light Kids (2004) (1080p AMZN WEB-DL x265 HEVC 10bit EAC3 5.1 Silence),Born Into Brothels - Calcutta's Red Light Kids (2004) (1080p AMZN WEB-DL x265 Silence).mkv,Silence
Archipelago (2010),G:\2010 - 2015,Archipelago_2010_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
The Imposter (2012),G:\2010 - 2015,The.Imposter.2012.1080p.BluRay.x264-nikt0.mkv,nikt0
Source Code (2011),G:\2010 - 2015\6 - 6.5\1 Source Code (2011) Tigole 6 6800,Source Code (2011) (1080p BluRay x265 Silence).mkv,Silence
Never Let Me Go (2010),G:\2010 - 2015\6 - 6.5\10 Never Let Me Go (2010) Tigole 6.1 2400,Never Let Me Go (2010) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Beasts of the Southern Wild (2012),G:\2010 - 2015\6 - 6.5\11 Beasts of the Southern Wild (2012) Silence 6.2 2200,Beasts of the Southern Wild (2012) (1080p BluRay x265 Silence).mkv,Silence
Locke (2013),G:\2010 - 2015\6 - 6.5\12 Locke (2013) afm72 6 2100,Locke (2013) (1080p BluRay x265 afm72).mkv,afm72
The Borrower Arrietty (2010),G:\2010 - 2015\6 - 6.5\13 The Secret World of Arrietty (2010) MNHD 6.2 1500,The.Borrower.Arrietty.2010.BluRay.1080p.x265.10bit.3Audio.MNHD-FRDS.mkv,
The Guard (2011),G:\2010 - 2015\6 - 6.5\14 The Guard (2011) Tigole 6 1500,The Guard (2011) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Fruitvale Station (2013),G:\2010 - 2015\6 - 6.5\15 Fruitvale Station (2013) Prof 6.4 1300,Fruitvale Station (2013).mkv,
The Double (2013),G:\2010 - 2015\6 - 6.5\15 The Double (2013) afm72 6 1300,The Double (2013) (1080p BluRay x265 afm72).mkv,afm72
Still Alice (2014),G:\2010 - 2015\6 - 6.5\16 Still Alice (2014)  Tigole 6 1200,Still_Alice_2014_10bit_1080p_x265_BluRay_Silence_30NAMA.mkv,Silence
PK (2014),G:\2010 - 2015\6 - 6.5\17 PK (2014) Tigole 6 800,PK_2014_10bit_1080p_x265_BluRay_AAC_5.1_Natty_30NAMA.mkv,Natty
A Royal Affair (2012),G:\2010 - 2015\6 - 6.5\18 A Royal Affair (2012) Dm afm72 6.4 700\A Royal Affair (2012) (1080p BluRay x265 HEVC 10bit AAC 5.1 Danish afm72),A Royal Affair (2012) (1080p BluRay x265 afm72).mkv,afm72
From Up on Poppy Hill (2011),G:\2010 - 2015\6 - 6.5\19 From Up on Poppy Hill (2011) JP MNHD 6.3 700,From.Up.on.Poppy.Hill.2011.BluRay.1080p.x265.10bit.3Audio.MNHD-FRDS.mkv,
Edge of Tomorrow (2014),G:\2010 - 2015\6 - 6.5\2 Edge of Tomorrow (2014) Tigole 6 6700,Edge of Tomorrow (2014) (1080p BDRip x265 10bit DTS-HD MA 7.1 - r0b0t) [TAoE].mkv,TAoE
Pride (2014),G:\2010 - 2015\6 - 6.5\20 Pride (2014) Tigole 6.4 700,Pride_2014_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
The Lunchbox (2013),G:\2010 - 2015\6 - 6.5\21 The Lunchbox (2013) 30nama 6.3 600,The_Lunchbox_2013_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Barney's Version (2010),G:\2010 - 2015\6 - 6.5\22 Barney's Version (2010) r00t 6.3 500,Barney's Version (2010) (1080p BluRay x265 r00t).mkv,r00t
The Yellow Sea (2010),G:\2010 - 2015\6 - 6.5\23 The Yellow Sea (2010) YTS 6 400,The_Yellow_Sea_2010_1080p_BrRip_VXT_30NAMA.mp4,VXT
Timbuktu (2014),G:\2010 - 2015\6 - 6.5\24 Timbuktu (2014) Tigole 6.2 400,Timbuktu_2014_10bit_1080p_x265_BluRay_AAC_5.1_Tigole_30NAMA.mkv,Tigole
Omar (2013),G:\2010 - 2015\6 - 6.5\25 Omar (2013) YTS 6.2 300,Omar_2013_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Ilo Ilo (2013),G:\2010 - 2015\6 - 6.5\26 Ilo Ilo (2013) Tigole 6.4 200,Ilo_Ilo_2013_10bit_1080p_x265_BluRay_SAMPA_30NAMA.mkv,SAMPA
Heli (2013),G:\2010 - 2015\6 - 6.5\27 Heli (2013) USURY 6.3 200,Heli_2013_LIMITED_1080p_BluRay_USURY_30NAMA.mkv,USURY
The Wonders (2014),G:\2010 - 2015\6 - 6.5\28 The Wonders (2014) dvd 6.4 200,The_Wonders_2014_DVDRip_HORiZON_30NAMA.mkv,HORiZON
Frequencies (2013),G:\2010 - 2015\6 - 6.5\29 Frequencies (2013) Tigole 6.1 200,Frequencies (2013) (1080p BluRay x265 10bit Tigole).mkv,Tigole
The Fighter (2010),G:\2010 - 2015\6 - 6.5\3 The Fighter (2010) Tigole 6.4 5100,The Fighter (2010) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Footnote (2011),G:\2010 - 2015\6 - 6.5\30 Footnote (2011) r00t 6 200,Footnote (2011) (1080p BluRay x265 r00t).mkv,r00t
Metro Manila (2013),G:\2010 - 2015\6 - 6.5\31 Metro Manila (2013) Tigole 6 100,Metro.Manila.2013.1080p.BluRay.x265.HEVC.AC3-SARTRE.mkv,SARTRE
50 50 (2011),G:\2010 - 2015\6 - 6.5\4 50.50 (2011) 9488 4.1 Tigole 6.3 4700,50 50 (2011) (1080p BluRay x265 YOGI).mkv,YOGI
The Perks of Being a Wallflower (2012),G:\2010 - 2015\6 - 6.5\5 The perks of being Wallflower (2012) Tigole 6.1 4500,The_Perks_of_Being_a_Wallflower_2012_10bit_1080p_x265_BluRay_AAC_5.1_Tigole_30NAMA.mkv,Tigole
Captain Phillips (2013),G:\2010 - 2015\6 - 6.5\6 Captain Phillips (2013) Tigole 6 4200,Captain_Phillips_2013_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
Zero Dark Thirty (2012),G:\2010 - 2015\6 - 6.5\7 Zero Dark Thirty (2012) Tigole 6 3800,Zero_Dark_Thirty_2012_10bit_1080p_x265_BluRay_AAC_5.1_Silence_30NAMA.mkv,Silence
Winter's Bone (2010),G:\2010 - 2015\6 - 6.5\8 Winter's Bone (2010) Silence 6.1 3500,Winter's Bone (2010) (1080p BluRay x265 Silence).mkv,Silence
Mud (2013),G:\2010 - 2015\6 - 6.5\9 Mud (2012) Tigole 6.2 2500,Mud (2013) (1080p BluRay x265 Silence).mkv,Silence
The King's Speech (2010),G:\2010 - 2015\6.5 - 7\1 The Kings Speech (2010) Tigole 6.8 8900,The King's Speech (2010).mkv,
Animal Kingdom (2010),G:\2010 - 2015\6.5 - 7\10 Animal Kingdom (2010) Tigole 6.7 1300,Animal Kingdom (2010) (1080p BluRay x265 Silence).mkv,Silence
Detachment (2011),G:\2010 - 2015\6.5 - 7\11 Detachment (2011) prof 6.6 1300,Detachment (2011).mkv,
Calvary (2014),G:\2010 - 2015\6.5 - 7\12 Calvary (2014) WiKi 6.9 1300,Calvary.2014.1080p.BluRay.x264.DTS-WiKi.mkv,WiKi
The Broken Circle (2012),G:\2010 - 2015\6.5 - 7\13 The Broken Circle (2012) 6.9 900,The_Broken_Circle_2012_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
In the House (2012),G:\2010 - 2015\6.5 - 7\14 In the House (2012) 6.8 800,In_the_House_2012_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Tyrannosaur (2011),G:\2010 - 2015\6.5 - 7\15 Tyrannosaur (2011) YTS 6.8 800,Tyrannosaur.2011.1080p.BluRay.x264-nikt0.mkv,nikt0
Sleep Tight (2011),G:\2010 - 2015\6.5 - 7\16 Sleep Tight (2011) Bandi 6.5 700,Sleep Tight (2011) (1080p BluRay x265 EAC3 Bandi).mkv,Bandi
71 (2014),G:\2010 - 2015\6.5 - 7\17 71 (2014) Tigole 6.8 700,71_2014_10bit_1080p_x265_BluRay_AAC_Tigole_30NAMA.mkv,Tigole
Margaret (2011),G:\2010 - 2015\6.5 - 7\18 Margaret (2011) Tigole 6.9 700,Margaret_2011_10bit_1080p_x265_BluRay_Silence_30NAMA.mkv,Silence
Love and Mercy (2014),G:\2010 - 2015\6.5 - 7\19 Love and Mercy (2014) 6.6 700,Love.and.Mercy.2014.1080p-[MediaSity].mkv,
Scott Pilgrim vs  the World (2010),G:\2010 - 2015\6.5 - 7\2 Scott Pilgrim vs. the World (2010) Tigole 6.5 8900,Scott Pilgrim vs. the World (2010) (1080p BluRay x265 afm72).mkv,afm72
When Marnie Was There (2014),G:\2010 - 2015\6.5 - 7\20 When Marnie Was There (2014) MNHD 6.7 600,When.Marnie.Was.There.2014.BluRay.1080p.x265.10bit.2Audio.MNHD-FRDS.mkv,
The Congress (2013),G:\2010 - 2015\6.5 - 7\21 The Congress (2013) 6.6 500,The_Congress_2013_1080p_BrRip_RARBG_30NAMA.mp4,RARBG
Blind (2014),G:\2010 - 2015\6.5 - 7\22 Blind (2014) YTS 6.8 500,Blind.2014.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,YTS
Bullhead (2011),G:\2010 - 2015\6.5 - 7\23 Bullhead (2011) YTS 6.7 500,Bullhead.2011.1080p.BluRay.x264-nikt0.mkv,nikt0
Even the Rain (2010),G:\2010 - 2015\6.5 - 7\24 Even the Rain (2010) 6.8 400,Even_the_Rain_2010_1080p_x265_BrRip_AAC_VXT_30NAMA.mp4,VXT
King of Devils Island (2010),G:\2010 - 2015\6.5 - 7\25 King of Devils Island (2010) 6.7 400,King_of_Devils_Island_2010_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Monsieur Lazhar (2011),G:\2010 - 2015\6.5 - 7\26 Monsieur Lazhar (2011) Narkyy 6.9 400,Monsieur.Lazhar.2011.1080p.BluRay.DD5.1.x264-Narkyy.mkv,
New World (2013),G:\2010 - 2015\6.5 - 7\27 New World (2013) Bandi 6.8 400,New World (2013) Korean (1080p BluRay x265 10bit AAC5.1 Bandi).mkv,Bandi
Of Gods and Men (2010),G:\2010 - 2015\6.5 - 7\28 Of Gods And Men (2011) YTS 6.9 400,Of_Gods_and_Men_2010_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Polisse (2011),G:\2010 - 2015\6.5 - 7\29 Polisse (2011) YTS 6.7 300,Polisse_2011_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
The Lego Movie (2014),G:\2010 - 2015\6.5 - 7\3 The Lego Movie (2014) Tigole 6.6 5000,The_Lego_Movie_2014_10bit_1080p_x265_BluRay_AAC_5.1_Tigole_30NAMA.mkv,Tigole
Broken (2012),G:\2010 - 2015\6.5 - 7\30 Broken (2012) YTS 6.6 300,Broken.2012.1080p.BluRay.x264.YIFY.mp4,YIFY
Lore (2012),G:\2010 - 2015\6.5 - 7\31 LORE (2013) YTS 6.5 300,Lore_2012_1080p_BrRip_RARBG_30NAMA.mp4,RARBG
The Day He Arrives (2011),G:\2010 - 2015\6.5 - 7\32 The Day He Arrives (2011) Silence 6.9 200,The Day He Arrives (2011) (1080p BluRay x265 Silence).mkv,Silence
L enfant d en haut (2012),G:\2010 - 2015\6.5 - 7\33 SISTER (2012) 6.9 200,L_enfant_d_en_haut_2012_1080p_WEBRip_AAC_RIYE_30NAMA.mkv,
The Kingdom of Dreams and Madness (2013),G:\2010 - 2015\6.5 - 7\34 The Kingdom of Dreams and Madness (2013) MNHD 6.9 200,The.Kingdom.of.Dreams.and.Madness.2013.BluRay.1080p.x265.10bit.MNHD-FRDS.mkv,
El Infierno (2010),G:\2010 - 2015\6.5 - 7\35 El Infierno (2010) SARTRE 6.6 100,El.Infierno.2010.1080p.BluRay.x265.HEVC.EAC3-SARTRE.mkv,SARTRE
Magical Girl (2014),G:\2010 - 2015\6.5 - 7\36 Magical Girl (2014) 6.9 100,Magical.Girl.2014.1080p.BluRay.x264-[YTS.LT].mp4,YTS
Sea Fog (2014),G:\2010 - 2015\6.5 - 7\37 Sea Fog (2014) mkvCage 6.8 100,Sea.Fog.2014.1080p.BluRay.6CH.2.1GB.MkvCage.mkv,MkvCage
The Painting (2011),G:\2010 - 2015\6.5 - 7\38 The Painting (2011) YTS 6.9 100,The_Painting_2011_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
From What Is Before (2014),G:\2010 - 2015\6.5 - 7\39 From What is Before (2014) YTS 6.5 0,From_What_Is_Before_2014_720p_WEB-DL_YIFY_30NAMA.mp4,YIFY
The Artist (2011),G:\2010 - 2015\6.5 - 7\4 The Artist (2011) Tigole 6.5 4400,The Artist (2011) (1080p BluRay x265 afm72).mkv,afm72
Petit Tailleur (2010),G:\2010 - 2015\6.5 - 7\40 Petit Tailleur (2010) Sartre 6.7 0,Petit.Tailleur.2010.Upscale.1080p.DVDRip.x265.HEVC.AAC-SARTRE.mkv,SARTRE
Tokyo Family (2013),G:\2010 - 2015\6.5 - 7\41 Tokyo Family (2013) 30nama 6.6 0,Tokyo_Family_2013_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Blue Valentine (2010),G:\2010 - 2015\6.5 - 7\5 Blue Valentine (2010) afm72 6.7 3700,Blue Valentine (2010) (1080p BluRay x265 afm72).mkv,afm72
Under the Skin (2013),G:\2010 - 2015\6.5 - 7\6 Under the Skin (2013) Tigole 6.9 3100,Under_the_Skin_2013_1080p_BluRay_Full_HD_DTS_DON_30NAMA.mkv,DON
Submarine (2010),G:\2010 - 2015\6.5 - 7\7 Submarine (2010) 6.9 2000,Submarine (2010) (1080p BluRay x265 afm72).mkv,afm72
Martha Marcy May Marlene (2011),G:\2010 - 2015\6.5 - 7\8 Martha Marcy May Marlene (2011) Silence 6.5 1400,Martha Marcy May Marlene (2011) (1080p BluRay x265 Silence).mkv,Silence
Elite Squad The Enemy Within (2010),G:\2010 - 2015\6.5 - 7\9 Elite Squad The Enemy Within (2011) Tigole 6.9 1400,Elite.Squad.The.Enemy.Within.2010.1080p.BluRay.x265.HEVC.EAC3-SARTRE.mkv,SARTRE
12 Years a Slave (2013),G:\2010 - 2015\7 - 7.5\1 12 Years a Slave (2013) afm72 7 6000,12 Years a Slave (2013) (1080p BluRay x265 afm72).mkv,afm72
A Hijacking (2012),G:\2010 - 2015\7 - 7.5\10 A Hijacking (2012) publichd 7.2 500,A Hijacking (2012) 1080p publichd.mkv,
The Selfish Giant (2013),G:\2010 - 2015\7 - 7.5\11 The Selfish Giant (2013) YTS 7.4 400,The_Selfish_Giant_2013_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
The Tribe (2014),G:\2010 - 2015\7 - 7.5\12 The Tribe (2014) YTS 7 400,The_Tribe_2014_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Childs Pose (2013),G:\2010 - 2015\7 - 7.5\14 Childs Pose (2013) YTS 7.1 300,Childs_Pose_2013_1080p_WEB-DL_TEPES_30NAMA.mkv,TEPES
Gett The Trial of Viviane Amsalem (2014),G:\2010 - 2015\7 - 7.5\15 Gett The Trial of Viviane Amsalem (2014) Tigole 7.4 200,Gett The Trial of Viviane Amsalem (2014) (1080p BluRay x265 r00t).mkv,r00t
Sibir Monamur (2011),"G:\2010 - 2015\7 - 7.5\16 Sibir, Monamur (2011) 7.4 100",Sibir_Monamur_2011_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
A Simple Life (2011),G:\2010 - 2015\7 - 7.5\17 A Simple Life (2011) YTS 7.2 100,A_Simple_Life_2011_1080p_x265_BrRip_VXT_30NAMA.mp4,VXT
Ship of Theseus (2012),G:\2010 - 2015\7 - 7.5\18 Ship of Theseus (2012) Tigole 7.2 100,Ship of Theseus (2012) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Tu Dors Nicole (2014),G:\2010 - 2015\7 - 7.5\19 Tu Dors Nicole (2014) YTS 7.1 100,Tu_Dors_Nicole_2014_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
